datensatz,mass,fenster_min,methode,n,r,p,ci_lo,ci_hi
streng_AB_fp|partiell_ldw,load_revs,15,spearman,26,0.0030769230769230765,0.9880978710589009,-0.45732923362157274,0.45430242511582253
streng_AB_fp,load_bytes,15,spearman,26,0.027692307692307693,0.8931776409313734,-0.4056478707728158,0.46347207021518466
streng_AB_fp,load_bytes,15,pearson,26,-0.14391659748740704,0.48304876287700055,-0.4850716066312953,0.27012856512013966
streng_AB_fp|partiell_ldw,load_bytes,15,spearman,26,-0.07008547008547007,0.7336982456307621,-0.489608381999313,0.38129054393558687
streng_AB_fp,load_labels,15,spearman,26,0.06482627451863543,0.7530466388131825,-0.411843751491517,0.5079413348042466
streng_AB_fp,load_labels,15,pearson,26,-0.07541184216340359,0.7142628046424326,-0.44181896316978325,0.3163346364708476
streng_AB_fp|partiell_ldw,load_labels,15,spearman,26,-0.08854700854700855,0.66709078570047,-0.520640254465706,0.33770860385334117
streng_AB_fp,load_ip,15,spearman,26,0.15326722711933705,0.45475548924342635,-0.3499449624441225,0.573294216681432
streng_AB_fp,load_ip,15,pearson,26,0.052159159829036815,0.8002277576261718,-0.42943524536496,0.49393824208380516
streng_AB_fp|partiell_ldw,load_ip,15,spearman,26,0.05025641025641025,0.8073786434470329,-0.4043339139237774,0.49849932682275255
streng_AB_fp,load_events,15,spearman,26,0.1258980794194554,0.5399881353398236,-0.37204669297693205,0.5443779307279688
streng_AB_fp,load_events,15,pearson,26,-0.02437185692222681,0.9059266759754533,-0.4275814004357201,0.39630172512408335
streng_AB_fp|partiell_ldw,load_events,15,spearman,26,0.011282051282051281,0.9563777062903426,-0.43536219927892805,0.44904645868820015
streng_AB_fp,load_revs,60,spearman,26,0.09678523137829775,0.6381083589606661,-0.4030793132608276,0.5333838651356811
streng_AB_fp,load_revs,60,pearson,26,-0.09544435577769514,0.6427918908633532,-0.479686036550419,0.34844437428984015
streng_AB_fp|partiell_ldw,load_revs,60,spearman,26,-0.014017094017094016,0.9458163483898879,-0.4767649984113638,0.4428509489668002
streng_AB_fp,load_bytes,60,spearman,26,-0.02427765465470473,0.9062887162968888,-0.4839777737985813,0.42509331828754404
streng_AB_fp,load_bytes,60,pearson,26,-0.18496530206695308,0.365678771143419,-0.5255855441804285,0.26730592542605924
streng_AB_fp|partiell_ldw,load_bytes,60,spearman,26,-0.06871794871794872,0.7387146311049512,-0.5058838811707582,0.3885182825466039
streng_AB_fp,load_labels,60,spearman,26,-0.07677932678318176,0.7093002912780395,-0.4926638738028524,0.3741344704010257
